Unnamed: 0,merge,PopDen,PerW,PerAA,SexR,PerR,per_30to74,total__diabetic__per_sq_mi,actual_diabetic__poor_control_rate,Clust_12
0,370630001011,1910.166065,0.533235939,0.341855369,0.683886839,0.466221232,0.624543462,145.0653458,0.027472527,1
1,370630001012,2846.034614,0.180058651,0.55601173,0.959770115,0.372630332,0.584750733,391.7162204,0.056956876,4
2,370630001021,4700.601089,0.576896552,0.376551724,1.027972028,0.759310345,0.527931034,310.1381588,0.034909091,4
3,370630001022,1735.690832,0.640740741,0.191975309,0.995073892,0.524613221,0.590123457,177.1487304,0.037306642,4
4,370630002001,1849.395951,0.439393939,0.360606061,0.910274964,0.853174603,0.517424242,145.6638182,0.041481481,3
5,370630002002,5260.927804,0.493670886,0.403115871,1.39953271,0.5995086,0.602726388,420.9932569,0.033123028,4
6,370630002003,3773.415602,0.956790123,0.038065844,1.229357798,0.387840671,0.614197531,176.8195175,0.018151815,1
7,370630003011,3187.622417,0.434456929,0.505617978,0.893617021,0.81920904,0.559925094,247.197834,0.033492823,4
8,370630003012,7554.540462,0.493489583,0.432291667,0.949238579,0.614583333,0.626302083,672.0507295,0.047058824,10
9,370630003013,7730.752788,0.805626598,0.113810742,1.068783069,0.67357513,0.465473146,362.1783819,0.015936255,3
10,370630003021,4192.564059,0.781947262,0.076064909,0.783001808,0.15010142,0.703853955,143.1488311,0.007561437,3
11,370630003022,5358.175303,0.841765339,0.101184069,0.762808349,0.470398278,0.585575888,319.8122275,0.027070064,4
12,370630003023,5831.48086,0.805351171,0.091638796,0.736353078,0.665770007,0.507023411,274.2213902,0.013631938,4
13,370630004011,1709.013581,0.933962264,0.045990566,0.86784141,0.234669811,0.661556604,115.6896161,0.021052632,3
14,370630004012,4062.504905,0.954545455,0.007867133,0.979238754,0.199107143,0.58041958,87.9051713,0.012383901,3
15,370630004013,1814.798763,0.885128205,0.047179487,1.215909091,0.26974359,0.62974359,64.69169111,0.013645224,1
16,370630004021,3785.008501,0.829431438,0.043000478,0.995233556,0.669374104,0.382704252,137.8777635,0.011413043,3
17,370630005001,2900.952077,0.591365462,0.234939759,1.289655172,0.965517241,0.085341365,60.56273644,0,10
18,370630005002,2938.327244,0.661625709,0.275992439,1.330396476,0.551984877,0.618147448,203.4936249,0.027027027,1
19,370630005003,6428.513726,0.228121927,0.589970501,1.348729792,0.740412979,0.427728614,582.0718784,0.031296572,3
20,370630005004,8884.592559,0.337223587,0.655405405,1.037546934,0.802211302,0.458230958,653.8409789,0.051724138,8
21,370630006001,4182.798359,0.546209761,0.31152648,1.210405509,0.628425998,0.591900312,235.107157,0.021498771,1
22,370630006002,3478.115445,0.63314631,0.221406992,1.016536118,0.628398792,0.59128183,193.2255449,0.034285714,1
23,370630006003,372.0371731,0.818181818,0.070075758,0.777777778,0.0625,0.757575758,18.83735193,0.009784736,10
24,370630007001,2702.24704,0.726804124,0.212371134,1.26635514,0.590958019,0.549484536,256.5312962,0.02240566,1
25,370630007002,2520.231467,0.688066465,0.248489426,1,0.370090634,0.592145015,103.6616472,0.015781923,6
26,370630007003,3370.439002,0.430048243,0.413507926,1.00137931,0.376292212,0.656099242,144.8977924,0.013636364,1
27,370630009001,5437.745069,0.38292011,0.502295684,1.388157895,0.819100092,0.573002755,558.6940628,0.069097889,11
28,370630009002,5212.142477,0.197058824,0.700980392,0.988304094,0.887254902,0.464705882,662.8145369,0.064083458,6
29,370630010011,4526.811475,0.418552036,0.415158371,0.913419913,0.705882353,0.648190045,664.2251992,0.05984252,8
30,370630010012,5988.208603,0.105413105,0.648860399,0.905020353,0.799145299,0.533475783,603.9058518,0.046285018,8
31,370630010013,3337.966113,0.080634501,0.862524785,0.644565217,0.658017299,0.533377396,408.4955301,0.046758767,8
32,370630010021,3976.763304,0.525544554,0.276039604,0.729452055,0.807128713,0.444356436,499.0256771,0.049493813,3
33,370630010022,3155.231602,0.124886053,0.762989973,0.64962406,0.511584801,0.507748405,284.7921489,0.060869565,10
34,370630010023,5824.839411,0.261682243,0.610146862,1.256024096,0.885444744,0.684913218,693.0242545,0.056390977,8
35,370630010024,9638.035278,0.567351598,0.273401826,0.925274725,0.601598174,0.489726027,789.817638,0.054054054,3
36,370630011001,7745.463796,0.31758034,0.585538752,0.984990619,0.786812097,0.512287335,1047.450788,0.050552005,3
37,370630011002,4924.501319,0.234530176,0.636363636,1.316814159,0.879767828,0.564553094,800.8745025,0.047024952,6
38,370630013011,4905.612524,0.067919075,0.832369942,0.860215054,0.74383164,0.460260116,547.4985874,0.049668874,1
39,370630013031,7279.005202,0.091312619,0.834178821,0.535540409,0.73843566,0.198795181,374.7631159,0.04004329,1
40,370630013032,3383.90946,0.018292683,0.981707317,0.513846154,0.648373984,0.617886179,592.481063,0.058201058,3
41,370630013041,4949.732279,0.081694402,0.728895613,0.914831981,0.847706422,0.438426626,465.6304094,0.046717918,3
43,370630014002,3494.640509,0.081569437,0.832731027,0.773809524,0.896480331,0.326277749,334.0542509,0.052518757,7
45,370630015021,8350.826066,0.464872422,0.357217756,1.09443631,0.985018727,0.41279273,508.662085,0.027289266,1
47,370630015023,5888.051589,0.214695154,0.268890047,0.600500417,1,0.40437728,209.6290145,0.008681926,1
50,370630016011,249.3324631,0.662634409,0.240591398,0.989304813,0.058694057,0.568548387,17.91903864,0.016216216,3
51,370630016012,1290.527163,0.538229072,0.372317921,0.96379822,0.038682381,0.547899668,105.8116678,0.023572551,5
52,370630016013,681.4728133,0.8125,0.1875,0.535844471,0.22943038,0.704113924,102.4983831,0.024475524,3
53,370630016031,776.0923269,0.926174497,0.073825503,0.922580645,0.186241611,0.508389262,79.94120426,0.024154589,8
54,370630016032,1431.47636,0.615752551,0.270408163,0.774759479,0.112563776,0.540816327,105.7639659,0.014667365,2
55,370630016033,675.4105555,0.7208,0.1912,1.185314685,0.093975904,0.6072,83.46378827,0.032,2
57,370630016041,969.1553332,0.859978541,0.065450644,0.751879699,0.120689655,0.650214592,93.69697649,0.016176471,3
58,370630016042,1006.924291,0.843941028,0.1197411,0.846613546,0.046026609,0.668824164,67.40120987,0.009320175,1
59,370630016043,420.0990114,0.580485389,0.284299158,0.716836735,0.060921248,0.552253591,32.96478243,0.015232975,1
60,370630017051,1737.455385,0.645374449,0.348751836,0.515016685,0.45204461,0.524963289,175.573976,0.021317829,7
61,370630017052,1911.369804,0.586983217,0.347932869,0.835462059,0.396466721,0.399508801,136.6793808,0.017818959,7
62,370630017053,1708.122378,0.510409189,0.254127782,0.5546875,0.73168963,0.593682699,155.4536013,0.030232558,6
63,370630017061,2024.581192,0.567384615,0.234769231,1.176825184,0.538461538,0.479692308,85.12108635,0.016025641,6
64,370630017062,2552.616799,0.5657277,0.291079812,0.69890329,0.568061285,0.587441315,163.1606264,0.016975309,1
65,370630017071,1454.81166,0.773143438,0.067141404,0.666101695,0.043032787,0.582909461,136.2839982,0.014304291,3
66,370630017072,1129.36424,0.759289176,0.064081852,0.879554656,0.418378378,0.646203554,80.81980751,0.017985612,11
68,370630017074,924.2476923,0.960251046,0.004707113,0.790262172,0.088328076,0.682531381,67.9671258,0.017073171,9
69,370630017075,1048.422658,0.899284863,0.079261025,0.755230126,0.42675967,0.50238379,58.15431279,0.002411576,7
70,370630017081,2261.492483,0.260133944,0.688755728,0.761018001,0.298517996,0.505111033,212.3236907,0.044170891,1
71,370630017091,2621.675405,0.000972763,0.999027237,1.06012024,0.492668622,0.389105058,411.6062507,0.061377246,6
72,370630017092,2904.824551,0,0.920588235,0.939163498,0.459803922,0.469607843,442.7181589,0.054676259,6
73,370630017093,1987.015501,0.307503075,0.598195982,0.673987646,0.864220957,0.476219762,189.2592817,0.045179508,8
74,370630017101,2673.200504,0.488188976,0.43996063,0.865361077,0.435325016,0.469816273,215.1381137,0.028395062,6
75,370630017102,4091.233479,0.356720827,0.520679468,0.945402299,0.655737705,0.582717873,368.0020052,0.029958678,3
76,370630017111,1446.186709,0.4515625,0.23359375,0.936459909,0.68359375,0.70859375,123.0602985,0.027576197,2
77,370630017112,5606.185505,0.275135135,0.640540541,0.641526176,0.937837838,0.389189189,369.0716138,0.038245219,6
78,370630017113,5197.810239,0.363354037,0.455900621,0.863425926,0.825465839,0.51242236,450.7370811,0.033264033,6
79,370630018011,978.1430044,0.4,0.557593123,1.117718447,0.099539701,0.641260745,111.5603199,0.032626427,7
80,370630018012,1915.844261,0.31424581,0.276536313,1.402684564,0.293617021,0.747206704,182.8109146,0.029147982,2
81,370630018013,909.2241478,0.273302172,0.645037119,0.953276047,0.141597796,0.467693154,80.44888952,0.036455412,3
82,370630018014,490.2992618,0.585954645,0.30431602,1.297478992,0.261155816,0.621068032,47.2336961,0.042007001,7
84,370630018021,1728.229919,0.268371904,0.644336175,0.878718535,0.35257732,0.554202192,165.3391322,0.050077042,6
85,370630018022,5523.514448,0.30487279,0.630444157,0.68287373,0.709357482,0.478654592,358.5981074,0.046121593,6
86,370630018023,2135.195165,0.225806452,0.681818182,0.705,0.458992095,0.53030303,269.6965067,0.045123726,7
87,370630018024,1756.67155,0.572893773,0.163369963,0.938920455,0.602197802,0.471794872,112.1353848,0.038314176,8
88,370630018061,185.4196513,1,0,1.036538462,0.256846081,0.641643059,14.2063454,0.021198157,7
89,370630018062,1147.260577,0.250853242,0.723549488,0.903369874,0.194777397,0.564419795,87.2334017,0.032083333,8
90,370630018071,2765.62804,0.45652806,0.448967723,0.834133333,0.390818484,0.567606862,200.6616746,0.037240537,1
91,370630018072,2697.010317,0.278437582,0.573502243,0.852811736,0.203506908,0.595407759,235.4007684,0.031956735,9
92,370630018073,2404.415887,0.331114809,0.591514143,0.881064163,0.15515807,0.612728785,288.1852795,0.036352801,8
93,370630018081,2043.270159,0.461730449,0.46422629,0.745824256,0.024958403,0.612728785,160.7404321,0.023218575,9
94,370630018082,1080.41308,0.470764855,0.397123894,1.064600326,0.117572693,0.576011378,71.17151978,0.01915403,6
95,370630018091,1099.407005,0.366277234,0.564256394,0.91013269,0.69892132,0.52099779,69.77597332,0.033526012,2
96,370630018092,1494.825413,0.546767786,0.377031419,0.832561218,0.315960912,0.497291441,102.0654095,0.024865591,11
97,370630019001,107.1827424,0.83126294,0.082815735,0.71886121,0.109730849,0.723602484,24.73514242,0.017940199,8
99,370630020071,2949.310321,0.749252243,0.235792622,1.003996004,0.152542373,0.755732802,197.9837378,0.01557377,7
100,370630020072,1858.534929,0.543132328,0.386934673,1.213160334,0.279690189,0.560720268,135.6275787,0.018181818,8
101,370630020073,2181.571176,0.363753213,0.393316195,0.874698795,0.082580645,0.750642674,255.4335591,0.025408348,7
103,370630020082,1907.606255,0.876302673,0.044404169,1.041628122,0.044404169,0.649750793,77.02425433,0.007086614,8
104,370630020091,1146.486333,0.172690763,0.803882195,0.789221557,0.408602151,0.511378849,199.0770374,0.041530945,9
105,370630020092,1865.795487,0.22704918,0.619672131,0.936507937,0.418585526,0.602459016,234.7126466,0.041891892,9
106,370630020093,2066.290223,0.112920738,0.781758958,1.004352557,0.389765923,0.595548317,303.2248111,0.049795918,9
107,370630020131,2092.897282,0.489361702,0.434650456,1.027734977,0.218844985,0.680851064,231.4750169,0.018329939,3
108,370630020132,1757.504507,0.713713714,0.264264264,1.08125,0.389389389,0.704704705,132.3848824,0.016227181,8
109,370630020133,2404.378591,0.724202627,0.144934334,0.825342466,0.221857411,0.600375235,141.8117333,0.015653775,8
110,370630020151,6110.789236,0.660631995,0.280118499,0.92278481,0.759707932,0.504937459,268.8715442,0.025365104,11
111,370630020152,4284.879289,0.548496605,0.219204656,0.598449612,0.892337536,0.417555771,273.6545811,0.02715655,8
112,370630020153,1455.76871,0.652492669,0.162756598,0.739795918,0.900481541,0.240469208,109.9039512,0,8
113,370630020161,6382.794221,0.344869094,0.387601565,1.231699127,0.990370147,0.547998796,296.69191,0.02,3
114,370630020162,4293.328367,0.606569901,0.246753247,1.056559309,0.88961039,0.468296409,160.7534811,0.019516729,9
115,370630020171,558.6475394,0.818219462,0.014492754,1.051826678,0.082815735,0.583850932,26.52715453,0.0059988,2
116,370630020172,1406.347823,0.805144193,0.093530787,1.141903172,0.144193297,0.6375682,100.9373069,0.012633625,3
117,370630020173,1669.030882,0.725052521,0.099002101,0.751609936,0.532840939,0.549369748,73.06834685,0.005673759,7
118,370630020181,3816.773747,0.896745681,0.029730816,0.939984412,0.318601848,0.514262756,41.30895783,0.008984726,9
119,370630020182,2157.215972,0.446959726,0.369834167,0.885359801,0.659000793,0.485127665,76.46498118,0.016613419,9
120,370630020183,941.3175327,0.81490761,0.078609458,0.84566474,0.146662488,0.631381146,35.90376565,0.00571066,11
121,370630020191,706.0846042,0.762825279,0.19330855,0.915954416,0.600743494,0.565055762,12.99545428,0.005870841,8
122,370630020192,408.6591391,0.816040381,0.02916433,1.019252548,0.521592821,0.470555244,7.02740676,0.011009174,9
123,370630020193,1246.990948,0.79836353,0.150204559,0.857763301,0.101110462,0.625365283,35.3602139,0.006756757,1
124,370630020201,811.8138546,0.743135518,0.092116918,0.876974231,0.096988485,0.580602303,23.49394813,0.007400555,5
126,370630020211,1651.761132,0.617396785,0.211786952,0.754977876,0.665300977,0.541443429,68.55265681,0.011560694,5
127,370630020212,2984.8331,0.590137429,0.345998383,1.265567766,0.265637693,0.572352466,205.4681028,0.023255814,5
128,370630020221,4969.39175,0.327134404,0.607776839,0.700934579,0.784446323,0.56043956,218.3604788,0.017495396,8
129,370630020222,4310.406748,0.707746479,0.164172535,0.826366559,0.332891247,0.601672535,266.7443959,0.018455229,9
130,370630020231,3945.003863,0.766288952,0.145892351,1.031654676,0.529745042,0.618271955,110.6546208,0.008,11
131,370630020232,3356.839914,0.653781513,0.157983193,1.033029613,0.369352869,0.568627451,169.4456527,0.008247423,0
132,370630020241,3581.14972,0.683305863,0.208617848,0.904484305,0.19590299,0.627266306,182.8445321,0.010688836,0
133,370630020242,5158.853386,0.713430282,0.20188195,1.040139616,0.359281437,0.666381523,227.2162706,0.004491018,9
134,370630020243,3968.379235,0.8101983,0.121813031,0.776845638,0.355051936,0.598677998,285.6992821,0.01142132,9
135,370630020251,3227.121814,0.331283906,0.458589512,0.845794393,0.129441624,0.643761302,228.8146434,0.024962179,0
136,370630020252,3246.811925,0.519535375,0.454417459,0.871541502,0.41781063,0.548398451,220.6573067,0.02614841,0
137,370630020253,2217.814869,0.523876404,0.381320225,0.964137931,0.197322058,0.561797753,134.1627144,0.019390582,8
138,370630020261,4257.652943,0.248913473,0.712366653,0.753984754,0.466772782,0.526669301,439.7256405,0.045347928,0
139,370630020262,2362.169975,0.094559585,0.698704663,0.858449687,0.672242551,0.413471503,177.5377544,0.030845771,11
140,370630020271,438.9635462,0.433805162,0.322231474,1.021885522,0.135720233,0.697751873,59.71382895,0.023868313,11
141,370630020272,1729.893435,0.381982289,0.527758856,0.655483507,0.691324357,0.423365123,82.11690291,0.01999216,0
142,370630020273,7543.380805,0.243146067,0.604044944,1.187807276,0.984719101,0.443146067,245.0497764,0.025065963,0
143,370630020281,621.135665,0.542052612,0.298629122,0.941726619,0.19266395,0.599851797,38.96509972,0.019794721,5
144,370630020282,6602.008491,0.377677565,0.563697858,0.702495202,0.916572717,0.515219842,196.3644515,0.018867925,9
145,370630020283,945.884483,0.44106035,0.278905809,1.113230036,0.633107727,0.671460801,38.78390136,0.011083123,8
146,370630021001,120.7681297,0.816243194,0.161978221,1.046425255,0.039927405,0.697368421,10.58016406,0.013930951,0
149,370630022001,3624.622059,0.57036693,0.370645611,0.922321429,0.717147044,0.478402229,140.0240337,0.016884114,9
151,370630023002,1267.974561,0.105633803,0.651408451,1.290322581,1,0.471830986,229.8787632,0.0433213,11
