row_id,fips,data_year,white,white__diabetic,white__diabetic__good_control,white__diabetic__poor_control,white__prediabetic,white__a1c,african_american,african_american__diabetic,african_american__diabetic__good_control,african_american__diabetic__poor_control,african_american__prediabetic,african_american__a1c,asian,asian__diabetic,asian__diabetic__good_control,asian__diabetic__poor_control,asian__prediabetic,asian__a1c,hispanic,hispanic__diabetic,hispanic__diabetic__good_control,hispanic__diabetic__poor_control,hispanic__prediabetic,hispanic__a1c,nonhispanic,nonhispanic__diabetic,nonhispanic__diabetic__good_control,nonhispanic__diabetic__poor_control,nonhispanic__prediabetic,nonhispanic__a1c,age_18_29,age_18_29__diabetic,age_18_29__diabetic__good_control,age_18_29__diabetic__poor_control,age_18_29__prediabetic,age_18_29__a1c,age_30_64,age_30_64__diabetic,age_30_64__diabetic__good_control,age_30_64__diabetic__poor_control,age_30_64__prediabetic,age_30_64__a1c,age_65_75,age_65_75__diabetic,age_65_75__diabetic__good_control,age_65_75__diabetic__poor_control,age_65_75__prediabetic,age_65_75__a1c,male,male__diabetic,male__diabetic__good_control,male__diabetic__poor_control,male__prediabetic,male__a1c,female,female__diabetic,female__diabetic__good_control,female__diabetic__poor_control,female__prediabetic,female__a1c,total,total__diabetic,total__diabetic__good_control,total__diabetic__poor_control,total__prediabetic,total__a1c,white__diabetic__rate,african_american__diabetic__rate,asian__diabetic__rate,hispanic__diabetic__rate,age_18_29__diabetic__rate,age_30_64__diabetic__rate,age_65_75__diabetic__rate,male__diabetic__rate,female__diabetic__rate,total__diabetic__rate,total__diabetic__per_sq_mi,age_adjusted__diabetic__rate
490,370630001011,2017,362,36,15,5,8,,230,48,20,7,13,,7,5,3,0,0,,96,14,5,6,8,,602,89,37,13,20,,146,3,0,0,0,,468,69,29,16,21,,76,18,6,0,4,,300,39,16,5,13,,428,66,27,15,15,,728,105,43,20,28,,0.099447514,0.208695652,0.714285714,0.145833333,0.020547945,0.147435897,0.236842105,0.13,0.154205607,0.144230769,145.0653458,0.127932253
491,370630001012,2017,246,32,8,10,7,,809,182,71,56,51,,9,0,0,0,0,,149,18,6,4,8,,1058,216,80,65,59,,277,8,0,5,7,,773,161,55,50,50,,118,49,26,10,6,,456,79,27,23,20,,773,158,61,47,47,,1229,237,88,70,67,,0.130081301,0.224969098,0,0.120805369,0.028880866,0.208279431,0.415254237,0.173245614,0.204398448,0.192839707,391.7162204,0.190176525
492,370630001021,2017,485,49,19,10,14,,552,100,46,24,29,,13,0,0,0,0,,322,39,12,14,14,,1036,149,65,34,45,,326,6,0,3,5,,895,142,59,36,41,,103,27,8,9,9,,554,80,29,22,17,,821,109,49,26,42,,1375,189,78,48,59,,0.101030928,0.18115942,0,0.121118012,0.018404908,0.158659218,0.262135922,0.144404332,0.132764921,0.137454545,310.1381588,0.137648023
493,370630001022,2017,569,62,26,12,19,,311,67,28,16,20,,28,6,3,0,0,,153,29,12,12,8,,925,135,56,29,41,,228,9,3,0,5,,698,107,38,33,31,,119,35,22,5,11,,416,60,21,18,15,,683,107,49,23,34,,1099,167,70,41,49,,0.108963093,0.215434084,0.214285714,0.189542484,0.039473684,0.153295129,0.294117647,0.144230769,0.156661786,0.151956324,177.1487304,0.142926981
494,370630002001,2017,261,25,7,6,8,,321,71,32,17,20,,6,0,0,0,0,,74,9,0,5,7,,589,95,39,22,27,,136,0,0,0,0,,441,67,20,25,32,,69,24,13,3,0,,274,48,17,14,11,,401,57,24,14,24,,675,105,41,28,35,,0.095785441,0.221183801,0,0.121621622,0,0.151927438,0.347826087,0.175182482,0.142144638,0.155555556,145.6638182,0.139020505
495,370630002002,2017,203,14,3,0,4,,289,51,22,11,20,,3,0,0,0,0,,125,17,6,9,9,,497,65,26,12,24,,153,5,0,0,4,,415,60,23,18,21,,51,12,6,0,8,,268,36,14,7,15,,366,47,19,14,18,,634,83,33,21,33,,0.068965517,0.176470588,0,0.136,0.032679739,0.144578313,0.235294118,0.134328358,0.128415301,0.130914826,420.9932569,0.128774276
496,370630002003,2017,424,21,11,4,8,,99,15,7,0,9,,10,0,0,0,0,,54,10,0,5,4,,527,35,17,6,17,,124,3,0,0,0,,391,25,11,9,13,,57,7,0,0,6,,241,22,12,3,9,,365,24,8,8,12,,606,46,20,11,21,,0.049528302,0.151515152,0,0.185185185,0.024193548,0.063938619,0.122807018,0.091286307,0.065753425,0.075907591,176.8195175,0.061457954
497,370630003011,2017,226,24,13,3,4,,263,45,19,15,14,,20,3,0,0,0,,100,19,7,4,4,,506,67,31,17,21,,168,0,0,0,4,,393,65,29,18,19,,46,13,4,0,3,,251,29,13,5,12,,376,58,25,16,14,,627,87,38,21,26,,0.10619469,0.171102662,0.15,0.19,0,0.165394402,0.282608696,0.115537849,0.154255319,0.138755981,247.197834,0.140051514
498,370630003012,2017,166,9,0,3,4,,190,49,25,11,10,,6,0,0,0,0,,50,13,0,7,0,,362,56,27,13,13,,100,3,0,0,3,,275,50,18,19,10,,29,9,5,0,0,,180,33,12,10,7,,245,36,17,10,8,,425,69,29,20,15,,0.054216867,0.257894737,0,0.26,0.03,0.181818182,0.310344828,0.183333333,0.146938776,0.162352941,672.0507295,0.161016589
499,370630003013,2017,343,15,11,0,7,,85,17,5,4,6,,25,0,0,0,0,,31,4,0,3,4,,451,33,16,5,12,,142,0,0,0,0,,303,19,8,4,10,,42,13,6,0,4,,233,21,9,4,6,,269,16,7,4,10,,502,37,16,8,16,,0.043731778,0.2,0,0.129032258,0,0.062706271,0.30952381,0.090128755,0.059479554,0.073705179,362.1783819,0.076890277
500,370630003021,2017,421,22,7,3,10,,55,7,4,0,0,,16,0,0,0,0,,18,3,0,0,0,,486,30,11,3,13,,87,0,0,0,0,,371,23,5,6,10,,57,7,4,0,3,,226,18,4,4,5,,303,16,8,0,8,,529,34,12,4,13,,0.052256532,0.127272727,0,0.166666667,0,0.061994609,0.122807018,0.079646018,0.052805281,0.064272212,143.1488311,0.054479496
501,370630003022,2017,374,18,6,5,7,,145,31,8,9,6,,8,0,0,0,0,,84,7,0,4,0,,514,49,14,13,14,,154,0,0,0,0,,408,39,9,15,10,,52,11,7,0,4,,253,27,7,5,5,,375,29,9,12,11,,628,56,16,17,16,,0.048128342,0.213793103,0,0.083333333,0,0.095588235,0.211538462,0.106719368,0.077333333,0.089171975,319.8122275,0.086608963
502,370630003023,2017,680,32,19,4,18,,159,25,11,6,10,,33,0,0,0,0,,112,14,5,4,6,,865,56,28,10,28,,284,4,0,0,3,,603,41,18,10,25,,95,16,9,0,4,,435,32,19,6,15,,592,39,15,8,20,,1027,71,34,14,35,,0.047058824,0.157232704,0,0.125,0.014084507,0.067993367,0.168421053,0.073563218,0.065878378,0.069133398,274.2213902,0.067048208
503,370630004011,2017,494,38,16,8,15,,81,15,8,0,5,,10,0,0,0,0,,55,4,0,4,0,,585,54,25,10,20,,111,0,0,0,0,,427,27,9,9,15,,90,23,13,3,4,,277,27,8,8,9,,388,31,17,6,13,,665,58,25,14,22,,0.076923077,0.185185185,0,0.072727273,0,0.06323185,0.255555556,0.097472924,0.079896907,0.087218045,115.6896161,0.070885035
504,370630004012,2017,573,15,7,0,9,,27,5,0,3,3,,14,0,0,0,0,,12,3,0,3,0,,612,22,9,5,13,,93,0,0,0,0,,445,17,5,6,10,,72,7,4,0,4,,280,13,4,4,8,,366,12,5,4,6,,646,25,9,8,14,,0.02617801,0.185185185,0,0.25,0,0.038202247,0.097222222,0.046428571,0.032786885,0.03869969,87.9051713,0.036104347
505,370630004013,2017,421,22,5,3,7,,33,6,4,0,3,,18,0,0,0,0,,20,4,0,3,0,,476,31,10,4,11,,97,0,0,0,0,,314,23,5,6,7,,73,6,3,0,5,,215,14,0,3,4,,298,21,8,4,9,,513,35,8,7,13,,0.052256532,0.181818182,0,0.2,0,0.073248408,0.082191781,0.065116279,0.070469799,0.068226121,64.69169111,0.056973359
506,370630004021,2017,1273,47,19,11,21,,134,15,5,5,5,,216,3,0,0,0,,110,12,0,6,10,,1593,62,25,14,24,,880,9,0,4,3,,834,38,18,12,27,,91,21,5,3,5,,783,40,16,12,14,,1057,37,11,9,21,,1840,77,27,21,35,,0.03692066,0.111940299,0.013888889,0.109090909,0.010227273,0.045563549,0.230769231,0.051085568,0.03500473,0.041847826,137.8777635,0.058978441
507,370630005001,2017,162,7,0,0,0,,47,12,4,0,0,,74,0,0,0,0,,14,0,0,0,0,,275,21,7,0,0,,204,0,0,0,0,,60,8,4,0,0,,19,8,0,0,0,,123,7,3,0,0,,191,14,4,0,0,,314,21,7,0,0,,0.043209877,0.255319149,0,0,0,0.133333333,0.421052632,0.056910569,0.073298429,0.066878981,60.56273644,0.135619502
508,370630005002,2017,280,12,6,3,7,,99,20,5,7,3,,50,0,0,0,0,,28,0,0,0,0,,426,35,12,11,10,,215,4,0,0,0,,243,26,6,10,9,,20,5,3,0,0,,209,20,5,9,4,,272,17,7,4,8,,481,37,12,13,12,,0.042857143,0.202020202,0,0,0.018604651,0.106995885,0.25,0.09569378,0.0625,0.076923077,203.4936249,0.102899575
509,370630005003,2017,158,6,3,0,3,,381,81,33,19,16,,38,0,0,0,0,,80,6,0,0,10,,573,86,36,20,21,,206,0,0,0,4,,395,66,24,16,23,,51,19,8,4,3,,288,33,14,10,11,,383,60,24,11,20,,671,93,38,21,31,,0.037974684,0.212598425,0,0.075,0,0.167088608,0.37254902,0.114583333,0.156657963,0.138599106,582.0718784,0.151719509
510,370630005004,2017,92,10,4,5,0,,446,90,38,21,25,,18,0,0,0,0,,80,21,9,9,6,,549,99,43,24,27,,150,3,0,0,0,,404,82,35,24,28,,51,20,11,5,4,,271,46,18,11,8,,367,75,34,22,26,,638,121,52,33,34,,0.108695652,0.201793722,0,0.2625,0.02,0.202970297,0.392156863,0.169741697,0.204359673,0.189655172,653.8409789,0.181931268
511,370630006001,2017,785,41,16,7,26,,590,98,47,19,32,,23,4,0,0,0,,172,18,6,7,11,,1396,139,62,28,59,,405,9,4,0,5,,1013,104,40,25,57,,140,33,18,6,9,,657,58,22,13,26,,971,106,49,22,45,,1628,164,71,35,71,,0.052229299,0.166101695,0.173913043,0.104651163,0.022222222,0.10266535,0.235714286,0.088280061,0.109165808,0.100737101,235.107157,0.099278749
512,370630006002,2017,649,30,11,6,18,,338,56,24,17,18,,43,0,0,0,0,,352,45,11,25,24,,1006,85,35,23,37,,337,8,0,4,6,,875,94,29,39,45,,126,15,7,5,7,,598,61,20,21,23,,802,69,26,27,38,,1400,130,46,48,61,,0.046224961,0.165680473,0,0.127840909,0.023738872,0.107428571,0.119047619,0.102006689,0.086034913,0.092857143,193.2255449,0.088998262
513,370630006003,2017,391,15,7,4,13,,53,6,0,0,7,,28,0,0,0,0,,28,3,0,0,0,,469,23,8,6,19,,85,0,0,0,0,,275,10,4,0,9,,89,7,4,0,7,,231,14,6,0,8,,280,13,4,5,13,,511,27,10,5,21,,0.038363171,0.113207547,0,0.107142857,0,0.036363636,0.078651685,0.060606061,0.046428571,0.052837573,18.83735193,0.032733581
514,370630007001,2017,493,23,12,4,9,,239,64,35,14,14,,42,0,0,0,0,,36,4,0,0,0,,768,89,48,19,24,,288,0,0,0,0,,415,49,28,12,19,,103,27,13,6,6,,383,38,20,8,11,,465,55,30,11,14,,848,93,50,19,25,,0.046653144,0.267782427,0,0.111111111,0,0.118072289,0.262135922,0.09921671,0.11827957,0.109669811,256.5312962,0.107079668
515,370630007002,2017,505,20,11,3,18,,136,30,7,7,6,,17,0,0,0,0,,16,0,0,0,0,,654,50,18,10,24,,96,0,0,0,0,,476,31,9,8,20,,84,11,5,0,5,,300,34,12,4,8,,397,21,9,7,18,,697,55,21,11,26,,0.03960396,0.220588235,0,0,0,0.06512605,0.130952381,0.113333333,0.052896725,0.078909613,103.6616472,0.057459669
516,370630007003,2017,340,17,9,0,7,,284,46,24,9,18,,11,0,0,0,0,,8,0,0,0,0,,638,63,33,9,26,,106,0,0,0,0,,408,32,14,7,20,,108,22,15,0,4,,279,27,13,3,9,,381,36,20,6,19,,660,63,33,9,28,,0.05,0.161971831,0,0,0,0.078431373,0.203703704,0.096774194,0.094488189,0.095454545,144.8977924,0.074606393
517,370630009001,2017,43,3,0,0,0,,320,79,32,21,17,,0,0,0,0,0,,153,29,8,13,6,,362,83,33,23,18,,147,4,0,0,0,,312,80,26,32,19,,35,15,9,0,0,,213,56,21,21,9,,308,57,21,15,15,,521,113,42,36,24,,0.069767442,0.246875,,0.189542484,0.027210884,0.256410256,0.428571429,0.262910798,0.185064935,0.216890595,558.6940628,0.222434452
518,370630009002,2017,82,0,0,0,0,,510,111,50,32,27,,4,0,0,0,0,,60,15,4,10,0,,598,115,52,33,27,,171,4,0,0,4,,424,94,37,33,17,,52,23,13,8,6,,306,49,15,21,9,,365,82,42,22,19,,671,131,57,43,28,,0,0.217647059,0,0.25,0.023391813,0.221698113,0.442307692,0.160130719,0.224657534,0.195230999,662.8145369,0.200725653
519,370630010011,2017,94,15,8,0,6,,394,90,42,25,14,,7,0,0,0,0,,135,27,12,11,11,,489,101,46,27,18,,125,4,0,0,3,,424,87,38,32,21,,57,27,12,4,4,,280,51,23,13,15,,355,80,36,25,14,,635,131,59,38,29,,0.159574468,0.228426396,0,0.2,0.032,0.205188679,0.473684211,0.182142857,0.225352113,0.206299213,664.2251992,0.195787291
520,370630010012,2017,116,22,8,6,3,,526,97,41,20,25,,6,0,0,0,0,,165,24,4,12,10,,640,118,50,25,27,,197,6,0,0,4,,542,107,38,30,30,,55,21,10,6,0,,332,59,19,22,3,,489,84,35,16,34,,821,143,54,38,37,,0.189655172,0.184410646,0,0.145454545,0.030456853,0.197416974,0.381818182,0.177710843,0.171779141,0.174177832,603.9058518,0.17960247
521,370630010013,2017,122,24,14,4,4,,683,132,58,28,45,,7,0,0,0,0,,122,33,10,13,9,,808,151,70,31,52,,240,14,3,5,7,,589,129,56,33,50,,73,29,16,3,3,,376,68,31,15,15,,565,119,49,29,46,,941,187,80,44,61,,0.196721311,0.193265007,0,0.270491803,0.058333333,0.21901528,0.397260274,0.180851064,0.210619469,0.198724761,408.4955301,0.201962092
522,370630010021,2017,154,30,13,10,7,,1063,214,83,46,58,,8,0,0,0,0,,551,80,32,35,23,,1200,239,94,53,62,,512,18,6,8,10,,1036,206,76,66,65,,162,64,33,9,10,,710,130,50,36,31,,1068,190,76,52,55,,1778,320,126,88,86,,0.194805195,0.201317027,0,0.145190563,0.03515625,0.198841699,0.395061728,0.183098592,0.177902622,0.179977503,499.0256771,0.183191263
523,370630010022,2017,65,13,3,4,0,,311,73,34,17,13,,4,0,0,0,0,,78,11,3,5,0,,378,88,38,23,16,,93,0,0,0,0,,305,73,28,23,14,,42,15,7,0,3,,194,47,19,12,7,,266,53,23,16,11,,460,100,42,28,18,,0.2,0.234726688,0,0.141025641,0,0.239344262,0.357142857,0.242268041,0.19924812,0.217391304,284.7921489,0.196577678
524,370630010023,2017,61,11,4,4,0,,289,59,23,20,13,,3,0,0,0,0,,168,18,6,5,9,,356,71,28,25,15,,132,4,0,0,0,,352,64,24,24,21,,35,17,7,4,0,,225,41,14,18,7,,307,49,20,12,17,,532,90,34,30,24,,0.180327869,0.204152249,0,0.107142857,0.03030303,0.181818182,0.485714286,0.182222222,0.159609121,0.169172932,693.0242545,0.181705358
525,370630010024,2017,86,11,5,4,0,,313,72,42,12,19,,4,0,0,0,0,,340,64,16,26,16,,385,79,48,13,21,,188,5,0,0,3,,479,115,51,36,32,,46,15,6,0,0,,332,64,30,19,15,,408,81,35,21,22,,740,145,65,40,37,,0.127906977,0.230031949,0,0.188235294,0.026595745,0.240083507,0.326086957,0.192771084,0.198529412,0.195945946,789.817638,0.199695164
526,370630011001,2017,389,43,16,12,10,,1098,208,85,58,77,,12,0,0,0,0,,194,37,12,17,12,,1507,252,103,70,88,,323,12,3,5,6,,1244,215,84,70,84,,109,45,20,10,9,,862,142,48,52,43,,859,147,67,35,57,,1721,289,115,87,100,,0.110539846,0.189435337,0,0.190721649,0.037151703,0.172829582,0.412844037,0.164733179,0.17112922,0.167925625,1047.450788,0.168952803
527,370630011002,2017,127,13,8,0,7,,774,177,68,42,57,,10,0,0,0,0,,116,20,10,5,8,,918,194,77,44,63,,233,4,0,0,4,,646,138,45,39,55,,120,55,32,7,10,,520,84,31,17,30,,522,131,56,32,41,,1042,215,87,49,71,,0.102362205,0.228682171,0,0.172413793,0.017167382,0.213622291,0.458333333,0.161538462,0.250957854,0.206333973,800.8745025,0.195921224
528,370630013011,2017,66,3,0,0,0,,755,142,53,40,48,,5,0,0,0,0,,64,9,0,4,4,,833,146,55,40,53,,220,4,0,0,0,,559,114,41,40,44,,83,22,9,5,8,,392,64,21,24,26,,514,92,36,21,31,,906,156,57,45,57,,0.045454545,0.18807947,0,0.140625,0.018181818,0.203935599,0.265060241,0.163265306,0.178988327,0.17218543,547.4985874,0.167182715
529,370630013031,2017,35,5,0,0,4,,827,153,69,35,47,,4,0,0,0,0,,45,6,0,0,0,,861,158,72,36,51,,296,9,0,5,9,,440,87,33,21,30,,94,29,16,5,8,,361,54,19,16,22,,563,110,54,21,32,,924,164,73,37,54,,0.142857143,0.185006046,0,0.133333333,0.030405405,0.197727273,0.308510638,0.149584488,0.195381883,0.177489177,374.7631159,0.171172411
530,370630013032,2017,23,3,0,0,0,,337,84,36,21,21,,0,0,0,0,0,,10,0,0,0,0,,363,87,36,22,22,,64,0,0,0,0,,220,42,11,16,16,,45,21,10,4,3,,160,35,10,11,6,,218,52,26,11,16,,378,87,36,22,22,,0.130434783,0.24925816,,0,0,0.190909091,0.466666667,0.21875,0.23853211,0.23015873,592.481063,0.1781698
531,370630013041,2017,70,10,4,5,3,,1407,276,119,62,90,,4,3,0,0,0,,192,22,8,13,18,,1466,286,126,64,90,,422,11,0,5,11,,945,184,74,50,79,,189,79,41,17,13,,614,105,39,30,42,,1077,209,96,49,71,,1691,314,135,79,113,,0.142857143,0.196162047,0.75,0.114583333,0.026066351,0.194708995,0.417989418,0.171009772,0.194057567,0.185688941,465.6304094,0.181067286
532,370630014001,2017,9,0,0,0,0,,524,103,37,26,35,,0,0,0,0,0,,17,4,0,0,0,,541,107,38,28,34,,154,3,0,0,5,,337,73,22,23,28,,49,24,12,4,0,,203,42,15,9,14,,361,69,24,20,22,,564,111,39,29,36,,0,0.196564885,,0.235294118,0.019480519,0.216617211,0.489795918,0.206896552,0.191135734,0.196808511,617.6587149,0.202101637
533,370630014002,2017,43,4,0,0,0,,762,169,73,46,45,,0,0,0,0,0,,125,13,6,0,11,,800,173,73,47,47,,260,5,0,0,10,,565,132,55,35,44,,65,34,18,7,0,,364,62,24,16,26,,569,125,56,33,32,,933,187,80,49,58,,0.093023256,0.221784777,,0.104,0.019230769,0.233628319,0.523076923,0.17032967,0.219683656,0.200428725,334.0542509,0.216942544
534,370630015011,2017,48,0,0,0,0,,17,0,0,0,0,,38,0,0,0,0,,10,0,0,0,0,,113,3,0,0,0,,98,0,0,0,0,,27,3,0,0,0,,3,0,0,0,0,,63,0,0,0,0,,66,0,0,0,0,,129,0,0,0,0,,0,0,0,0,0,0.111111111,0,0,0,0,0,0.071765817
535,370630015021,2017,325,20,10,4,11,,596,96,35,23,27,,187,6,3,0,0,,466,50,20,15,23,,1108,125,46,30,44,,695,8,0,0,9,,859,134,46,41,54,,66,23,13,0,5,,700,76,23,23,31,,949,100,43,22,38,,1649,176,66,45,69,,0.061538462,0.161073826,0.032085561,0.107296137,0.011510791,0.155995343,0.348484848,0.108571429,0.105374078,0.106731352,508.662085,0.144448189
536,370630015022,2017,313,12,6,0,0,,53,12,5,3,4,,347,0,0,0,0,,21,0,0,0,0,,689,26,11,5,10,,584,3,0,0,3,,194,13,6,3,7,,26,9,5,0,0,,336,16,7,4,4,,478,11,5,0,7,,814,27,12,4,11,,0.038338658,0.226415094,0,0,0.005136986,0.067010309,0.346153846,0.047619048,0.023012552,0.033169533,400.7988092,0.08519171
537,370630015023,2017,316,16,6,0,3,,232,28,8,5,12,,507,11,7,0,7,,72,8,0,3,0,,1053,60,26,7,23,,812,3,0,0,0,,401,47,22,8,22,,34,10,3,0,0,,542,26,9,6,9,,725,43,19,5,16,,1267,69,28,11,25,,0.050632911,0.120689655,0.021696252,0.111111111,0.003694581,0.117206983,0.294117647,0.04797048,0.059310345,0.054459353,209.6290145,0.111154595
